ID,GENENAME
ENSMUST00000004208.6,Angptl2
ENSMUST00000004214.14,Cacna1e
ENSMUST00000004222.13,Hira
ENSMUST00000004232.9,Adh1
ENSMUST00000004281.9,Dyrk2
ENSMUST00000004294.11,Kifc2
ENSMUST00000004316.14,Psap
ENSMUST00000004326.3,Plxna3
ENSMUST00000004327.10,G6pdx
ENSMUST00000004330.9,Ikbkg
ENSMUST00000004340.10,Pax2
ENSMUST00000004343.6,Wars2
ENSMUST00000004375.15,Phb2
ENSMUST00000004377.14,Ptpn6
ENSMUST00000004378.14,Eno2
ENSMUST00000004379.7,Emg1
ENSMUST00000004381.13,Lpcat3
ENSMUST00000004389.5,Grcc10
ENSMUST00000004392.11,Irf5
ENSMUST00000004396.12,Atp6v1f
ENSMUST00000004428.13,Clcn5
ENSMUST00000004430.13,Clcn3
ENSMUST00000004453.8,Gpx6
ENSMUST00000004470.8,Utp20
ENSMUST00000004473.14,Spic
ENSMUST00000004480.4,Sst
ENSMUST00000004494.15,Sin3b
ENSMUST00000004497.10,Large1
ENSMUST00000004505.2,Npc1l1
ENSMUST00000004507.10,Ddx56
ENSMUST00000004508.12,Tmed4
ENSMUST00000004554.13,Rps5
ENSMUST00000004560.11,Bid
ENSMUST00000004565.14,Ralb
ENSMUST00000004574.13,Dnajb11
ENSMUST00000004576.7,Tbccd1
ENSMUST00000004587.10,Clec11a
ENSMUST00000004614.14,Zfp110
ENSMUST00000004622.6,Gab2
ENSMUST00000004634.6,Slc1a4
ENSMUST00000004646.12,Coro1c
ENSMUST00000004655.7,Psg17
ENSMUST00000004657.13,Psg19
ENSMUST00000004673.14,Ndrg2
ENSMUST00000004681.13,Pnpla6
ENSMUST00000004683.12,Mcoln1
ENSMUST00000004684.12,Arhgef18
ENSMUST00000004686.12,Pex11g
ENSMUST00000004715.1,Mospd2
ENSMUST00000004728.11,Cd33
ENSMUST00000004729.4,Etfb
ENSMUST00000004732.6,Lim2
ENSMUST00000004745.8,Stxbp2
ENSMUST00000004749.6,Pcp2
ENSMUST00000004750.14,Sgce
ENSMUST00000004756.13,Wwox
ENSMUST00000004761.12,Nrf1
ENSMUST00000004770.6,Tyr
ENSMUST00000004774.3,Aqp1
ENSMUST00000004780.15,Arid3b
ENSMUST00000004784.10,Cnn2
ENSMUST00000004786.9,Polr2e
ENSMUST00000004827.13,Ly9
ENSMUST00000004829.12,Cd244a
ENSMUST00000004850.7,Adgre1
ENSMUST00000004868.5,Mtfp1
ENSMUST00000004892.6,Rab11a
ENSMUST00000004910.11,Eif2b2
ENSMUST00000004913.6,Pgf
ENSMUST00000004920.3,Ulk2
ENSMUST00000004936.9,Ccl24
ENSMUST00000004943.1,Tmed11
ENSMUST00000004949.7,Traf6
ENSMUST00000004955.13,Prpsap2
ENSMUST00000004959.2,Grap
ENSMUST00000004964.14,Pou1f1
ENSMUST00000004965.7,Chmp2b
ENSMUST00000004968.10,Plod3
ENSMUST00000004985.10,Brpf3
ENSMUST00000004986.13,Mapk13
ENSMUST00000004987.16,Srpk1
ENSMUST00000004990.13,Mapk14
ENSMUST00000004994.15,Pax3
ENSMUST00000005003.11,Lbr
ENSMUST00000005014.8,Hapln2
ENSMUST00000005015.9,Prcc
ENSMUST00000005016.15,Rrnad1
ENSMUST00000005017.14,Hdgf
ENSMUST00000005019.5,Crabp2
ENSMUST00000005041.14,U2af2
ENSMUST00000005051.5,Ldha
ENSMUST00000005053.13,Tmem242
ENSMUST00000005057.6,Thop1
ENSMUST00000005064.13,Pias4
ENSMUST00000005066.8,Map2k1
ENSMUST00000005067.5,Sgta
ENSMUST00000005069.7,Nmrk2
ENSMUST00000005072.9,Dtx2
ENSMUST00000005073.12,Zp3
ENSMUST00000005077.6,Hspb1
ENSMUST00000005103.11,Nfe2l3
ENSMUST00000005108.9,Kdm5a
ENSMUST00000005114.9,Fxyd4
ENSMUST00000005120.11,Ccdc130
ENSMUST00000005122.3,Mri1
ENSMUST00000005164.11,Prkacb
ENSMUST00000005173.10,Sgsh
ENSMUST00000005175.4,Chd5
ENSMUST00000005185.7,Cstb
ENSMUST00000005188.13,Sh2b2
ENSMUST00000005218.14,Cd44
ENSMUST00000005220.10,Slc1a2
ENSMUST00000005233.11,Eif2ak4
ENSMUST00000005234.12,Wdr1
ENSMUST00000005238.12,Slc2a9
ENSMUST00000005255.8,Ccn4
ENSMUST00000005256.13,Ndrg1
ENSMUST00000005262.1,4930550C14Rik
ENSMUST00000005279.7,Klf5
ENSMUST00000005292.14,Prdx2
ENSMUST00000005334.2,Shbg
ENSMUST00000005336.8,Senp3
ENSMUST00000005352.9,Corin
ENSMUST00000005364.11,G6pc2
ENSMUST00000005365.14,Spc25
ENSMUST00000005371.11,Trp53
ENSMUST00000005394.12,Ufd1
ENSMUST00000005399.9,Zfp287
ENSMUST00000005400.12,Prlr
ENSMUST00000005406.11,App
ENSMUST00000005413.3,Zfp112
